group,playbook,start1,end1,date1,title1,location1,start2,end2,date2,title2,location2,start3,end3,date3,title3,location3,start4,end4,date4,title4,location4,start5,end5,date5,title5,location5,start6,end6,date6,title6,location6,start7,end7,date7,title7,location7
wed ea music bingo,Activity,18:00,18:30,23-Aug,Evening Activities - Briefing,3a52,20:00,21:00,23-Aug,Evening Activities - Music Bingo,,,,,,,,,,,,,,,,,,,,,,,,,,
wed ea movie night,Activity,18:00,18:30,23-Aug,Evening Activities - Briefing,3a52,20:00,22:00,23-Aug,Evening Activities - Movie Night,,,,,,,,,,,,,,,,,,,,,,,,,,
wed ea clean,Activity,21:30,22:00,23-Aug,Wednesday cleanup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wed go-to,Activity,15:30,22:30,23-Aug,Wednesday Go-to shift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gb shift 1,Activity,10:45,11:00,24-Aug,Meet at Islands Brygge,Islands Brygge 10,11:30,12:30,24-Aug,GoBoats,,,,,,,,,,,,,,,,,,,,,,,,,,
gb shift 2,Activity,10:45,11:00,24-Aug,Meet at Islands Brygge,Islands Brygge 10,11:45,12:45,24-Aug,GoBoats,,,,,,,,,,,,,,,,,,,,,,,,,,
gb shift 3,Activity,10:45,11:00,24-Aug,Meet at Islands Brygge,Islands Brygge 10,12:00,13:00,24-Aug,GoBoats,,,,,,,,,,,,,,,,,,,,,,,,,,
gb shift 4,Activity,10:45,11:00,24-Aug,Meet at Islands Brygge,Islands Brygge 10,12:15,13:15,24-Aug,GoBoats,,,,,,,,,,,,,,,,,,,,,,,,,,
gb shift 5,Activity,10:45,11:00,24-Aug,Meet at Islands Brygge,Islands Brygge 10,12:30,13:30,24-Aug,GoBoats,,,,,,,,,,,,,,,,,,,,,,,,,,
gb shift 6,Activity,10:45,11:00,24-Aug,Meet at Islands Brygge,Islands Brygge 10,12:45,13:45,24-Aug,GoBoats,,,,,,,,,,,,,,,,,,,,,,,,,,
gb shift 7,Activity,10:45,11:00,24-Aug,Meet at Islands Brygge,Islands Brygge 10,13:00,14:00,24-Aug,GoBoats,,,,,,,,,,,,,,,,,,,,,,,,,,
gb rest,Activity,10:45,11:00,24-Aug,Meet at Islands Brygge,Islands Brygge 10,11:30,14:00,24-Aug,GoBoats,,,,,,,,,,,,,,,,,,,,,,,,,,
gb responsible,Activity,10:30,18:00,24-Aug,Overall responsibility for Goboats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gb clean,Activity,17:00,18:00,24-Aug,GoBoats cleanup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fri go-to,Activity,21:00,02:00,25-Aug,Friday Go-to shift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
